id,value,date
1420,22.2,2018-07-07
1420,22,2018-07-08
1420,22.3,2018-07-09
1420,18.5,2018-07-10
1420,16.3,2018-07-11
1420,19.8,2018-07-12
1420,22.1,2018-07-13
1420,24.6,2018-07-14
1420,23.3,2018-07-15
1420,23,2018-07-16
1420,23.2,2018-07-17
1420,23.5,2018-07-18
1420,23.6,2018-07-19
1420,24.9,2018-07-20
1420,20.5,2018-07-21
1420,19.6,2018-07-22
1420,22.9,2018-07-23
1420,25.6,2018-07-24
1420,26.5,2018-07-25
1420,28.8,2018-07-26
1420,28.8,2018-07-27
1420,25,2018-07-28
1420,23.7,2018-07-29
1420,26.3,2018-07-30
1420,28.1,2018-07-31
1420,25.4,2018-08-01
1420,26.4,2018-08-02
1420,29.7,2018-08-03
1420,30,2018-08-04
1420,26.7,2018-08-05
1420,27.1,2018-08-06
1420,27.4,2018-08-07
1420,25.1,2018-08-08
1420,24,2018-08-09
1420,19.4,2018-08-10
1420,18.5,2018-08-11
1420,19.4,2018-08-12
1420,18.1,2018-08-13
1420,19.8,2018-08-14
1420,19.5,2018-08-15
1420,22.4,2018-08-16
1420,23.3,2018-08-17
1420,21.8,2018-08-18
1420,22,2018-08-19
1420,22.1,2018-08-20
1420,24.8,2018-08-21
1420,25.9,2018-08-22
1420,24.2,2018-08-23
1420,19,2018-08-24
1420,15.4,2018-08-25
1420,14.6,2018-08-26
1420,16.7,2018-08-27
1420,18.2,2018-08-28
1420,20.2,2018-08-29
1420,17.8,2018-08-30
1420,17.2,2018-08-31
1420,17.7,2018-09-01
1420,17.3,2018-09-02
1420,18.8,2018-09-03
1420,21.5,2018-09-04
1420,22,2018-09-05
1420,20.3,2018-09-06
1420,18.1,2018-09-07
1420,15.5,2018-09-08
1420,16.8,2018-09-09
1420,18.3,2018-09-10
1420,19.3,2018-09-11
1420,21.3,2018-09-12
1420,18.2,2018-09-13
1420,18.2,2018-09-14
1420,15.9,2018-09-15
1420,17.1,2018-09-16
1420,17.7,2018-09-17
1420,21.1,2018-09-18
1420,22.2,2018-09-19
1420,21.2,2018-09-20
1420,16.4,2018-09-21
1420,13.2,2018-09-22
1420,13.4,2018-09-23
1420,10.8,2018-09-24
1420,9.4,2018-09-25
1420,10.3,2018-09-26
1420,11.9,2018-09-27
1420,12.1,2018-09-28
1420,11.1,2018-09-29
1420,10.9,2018-09-30
1420,10.6,2018-10-01
1420,8.1,2018-10-02
